"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.039874579E2,3.466799112E1,1.353931929E2,1.422434443E1,1.162447841E-1,NaN,4.783882263E0,3.307417048E0
2.049874573E2,3.466798620E1,1.353931992E2,1.386151338E1,1.814342712E-1,NaN,4.785584489E0,3.304953575E0
2.059874568E2,3.466798531E1,1.353932029E2,1.403052920E1,4.328822109E-1,NaN,4.785549405E0,3.305004376E0
2.069874562E2,3.466797938E1,1.353931977E2,1.376451849E1,1.076777103E-1,NaN,4.784496354E0,3.306528643E0
2.079874557E2,3.466797878E1,1.353932041E2,1.382520617E1,1.578602559E-1,NaN,4.787477142E0,3.302211326E0
2.089874550E2,3.466798177E1,1.353932085E2,1.369616845E1,2.117767633E-1,NaN,4.793020675E0,3.294159960E0
2.099874545E2,3.466798427E1,1.353932034E2,1.396151982E1,1.385420546E-1,NaN,4.781726031E0,3.310533673E0
2.109874539E2,3.466798150E1,1.353932151E2,1.421929014E1,7.592353830E-1,1.090439972E2,4.780159404E0,3.312795361E0
2.119874529E2,3.466797755E1,1.353932149E2,1.390863117E1,5.343752227E-1,1.097969345E2,4.689107496E0,3.440466237E0
2.129874526E2,3.466798306E1,1.353932095E2,1.436880510E1,6.605446112E-2,1.121161854E2,4.679217879E0,3.453904613E0
2.139874517E2,3.466798223E1,1.353932058E2,1.308219048E1,3.330705882E-1,1.176605752E2,4.699706072E0,3.425974295E0
2.149874518E2,3.466797892E1,1.353932064E2,1.251437226E1,7.542216227E-1,NaN,4.692698389E0,3.435566745E0
2.159874500E2,3.466798130E1,1.353932189E2,1.105517607E1,1.282675364E0,NaN,4.701560941E0,3.423428362E0
2.169874500E2,3.466797949E1,1.353932091E2,1.077735289E1,1.175411288E0,NaN,4.703011042E0,3.421435981E0
2.179874493E2,3.466798128E1,1.353932028E2,1.218561380E1,3.417975707E-1,NaN,4.702004435E0,3.422819207E0
2.189874489E2,3.466798359E1,1.353932064E2,1.283367052E1,8.240539855E-2,NaN,4.720869859E0,3.396752097E0
2.199874485E2,3.466798340E1,1.353932063E2,1.340487701E1,7.884752068E-2,NaN,4.731318911E0,3.382182490E0
2.209874477E2,3.466798336E1,1.353932056E2,1.351479332E1,1.213003181E-1,NaN,4.734937776E0,3.377114343E0
