"Time (s)","X (hPa)"
3.090975612E2,1.008814163E3
3.101724882E2,1.008815231E3
3.112474442E2,1.008820114E3
3.123223772E2,1.008823166E3
3.133973152E2,1.008825760E3
3.144722922E2,1.008826370E3
3.155472642E2,1.008826370E3
3.166222432E2,1.008824692E3
3.176971842E2,1.008822632E3
3.187721372E2,1.008821793E3
3.198470812E2,1.008820038E3
3.209220492E2,1.008818436E3
3.219970732E2,1.008817062E3
3.230720892E2,1.008816528E3
3.241470952E2,1.008814011E3
3.252221032E2,1.008809357E3
3.262970962E2,1.008804321E3
3.273721262E2,1.008799896E3
3.284471222E2,1.008793793E3
3.295221082E2,1.008792953E3
3.305971802E2,1.008792953E3
3.316721762E2,1.008795700E3
3.327472502E2,1.008799591E3
3.338222732E2,1.008803787E3
3.348973012E2,1.008807068E3
3.359723422E2,1.008811188E3
3.370473892E2,1.008811417E3
3.381224342E2,1.008811417E3
3.391974412E2,1.008810806E3
3.402724912E2,1.008808060E3
3.413475572E2,1.008800125E3
3.424225692E2,1.008795853E3
3.434975902E2,1.008791809E3
3.445725482E2,1.008789291E3
3.456475042E2,1.008787689E3
3.467225062E2,1.008787689E3
3.477975222E2,1.008788528E3
3.488724872E2,1.008789139E3
3.499474862E2,1.008791885E3
3.510224782E2,1.008796921E3
3.520975132E2,1.008801193E3
3.531724822E2,1.008805542E3
3.542474902E2,1.008808441E3
3.553224722E2,1.008810425E3
3.563975012E2,1.008810425E3
3.574725432E2,1.008808441E3
3.585475832E2,1.008804855E3
3.596225822E2,1.008803024E3
3.606975132E2,1.008800125E3
3.617724362E2,1.008798447E3
3.628474212E2,1.008796082E3
3.639224142E2,1.008796082E3
3.649974262E2,1.008797150E3
3.660724592E2,1.008798599E3
3.671475062E2,1.008802414E3
3.682225662E2,1.008807831E3
3.692975982E2,1.008810577E3
3.703725812E2,1.008810959E3
3.714476222E2,1.008814163E3
3.725226562E2,1.008815689E3
3.735976732E2,1.008815918E3
3.746727132E2,1.008817825E3
3.757477282E2,1.008820114E3
3.768227782E2,1.008820267E3
3.778977682E2,1.008822174E3
3.789727352E2,1.008822556E3
3.800478242E2,1.008822556E3
3.811228432E2,1.008822174E3
3.821978772E2,1.008822021E3
3.832729092E2,1.008819809E3
3.843478872E2,1.008817291E3
3.854228052E2,1.008815079E3
3.864977782E2,1.008814621E3
3.875727962E2,1.008811035E3
3.886477932E2,1.008810272E3
3.897227602E2,1.008810272E3
3.907977652E2,1.008808746E3
3.918727482E2,1.008807831E3
3.929477702E2,1.008807831E3
3.940228492E2,1.008807831E3
3.950979022E2,1.008806610E3
3.961729272E2,1.008805771E3
3.972480122E2,1.008805389E3
3.983230782E2,1.008804016E3
3.993981092E2,1.008801346E3
4.004731132E2,1.008800964E3
4.015480992E2,1.008800659E3
4.026230902E2,1.008799591E3
4.036980922E2,1.008798218E3
4.047731202E2,1.008795090E3
4.058480862E2,1.008791809E3
4.069230892E2,1.008789749E3
4.079981462E2,1.008789139E3
4.090732172E2,1.008787079E3
4.101482892E2,1.008787079E3
4.112233492E2,1.008788757E3
4.122984272E2,1.008788757E3
4.133735082E2,1.008789139E3
4.144485892E2,1.008788452E3
4.155236322E2,1.008789749E3
4.165986122E2,1.008790359E3
4.176736272E2,1.008791199E3
4.187486652E2,1.008794022E3
4.198236722E2,1.008794556E3
4.208986872E2,1.008796310E3
4.219737502E2,1.008796692E3
4.230488032E2,1.008798141E3
4.241237922E2,1.008798447E3
